Neighbourhood Id,Neighbourhood,Total_2014,Total_2015,Total_2016,Total_2017,Total_AVG,Total_ch,Population,Total_Rate,Shape__Area,Shape__Length,Access to Child Care,Business Licensing,Businesses_08,Child Care Spaces_08,Inequality (Gini coeff.),Local Employment_08,Social Assistance Recipients_08,Businesses_11,Child Care Spaces_11,Debt Risk Score,Home Prices,Local Employment_11,Social Assistance Recipients_11
55,Thorncliffe Park,161,161,145,149,154,0.03,8352,1843.86973180077,3126568.79077148,7502.759740920741,0.09213500000000001,130,403,21.0,0.3824,9643,3354.0,449,21,724,313618,9847,3818
56,Leaside-Bennington,108,95,91,93,97,0.02,20308,477.644278116998,4784925.58203125,14836.6734877904,0.283333,109,345,260.0,0.31735,2899,136.0,313,274,791,1071823,2901,239
57,Broadview North,62,64,66,57,62,-0.14,7449,832.326486776749,1746009.42138672,7178.1380586919095,0.329825,94,128,45.0,0.403039,1427,1347.0,129,57,728,518555,1286,1306
58,Old East York,115,113,130,108,117,-0.17,16619,704.013478548649,2349914.94970703,7485.129380143159,0.22105300000000003,111,127,85.0,0.388449,951,521.0,134,88,756,581398,1017,569
59,Danforth-East York,88,80,72,112,88,0.56,10485,839.2942298521699,2188650.21923828,7624.070230210029,0.576923,143,156,111.0,0.387279,3810,864.0,167,214,763,518568,3715,1049
60,Woodbine-Lumsden,121,83,83,63,88,-0.24,9183,958.292497005336,1196269.77416992,4871.21190677313,0.32222199999999995,38,57,95.0,0.375129,493,516.0,56,95,748,440700,558,582
61,Taylor-Massey,190,200,151,130,168,-0.14,9584,1752.9215358931601,1062956.68017578,5940.62695819459,0.261789,99,164,60.0,0.397069,1496,2709.0,157,60,721,254151,1399,2635
62,East End-Danforth,344,369,326,323,341,-0.01,13115,2600.07624857034,2638999.11523438,7372.19880815535,0.28181799999999996,207,523,311.0,0.422129,3767,1801.0,516,330,741,535867,3636,1901
63,The Beaches,136,167,175,202,170,0.15,28378,599.0556064557051,3595846.8737793,11275.3531348567,0.17037,263,537,167.0,0.35176999999999997,6179,574.0,531,167,764,751945,5694,672
64,Woodbine Corridor,138,114,132,128,128,-0.03,10034,1275.66274666135,1595693.59545898,5428.0298711687,0.315152,114,143,159.0,0.40808,1740,986.0,146,214,749,521549,1896,906
65,Greenwood-Coxwell,187,201,176,128,173,-0.27,14261,1213.0986606829802,1675196.76733398,6843.03751173135,0.253846,236,339,89.0,0.40893,2183,1628.0,315,94,738,490920,2342,1762
